benchmark,cpufreq,0x08,0x11,0x01,0x03,0x17,0x2a,time_run,time_en
/bin/mem_18_6,1865671,6.44182e+08,1.49802e+09,230,2.86307e+07,2.16175e+07,3960,8.07513e+08,8.07513e+08
/bin/mem_18_6,2000000,6.73667e+08,1.60591e+09,235,2.99403e+07,2.22822e+07,4134,8.0753e+08,8.0753e+08
/bin/mem_18_8,369959,1.44771e+08,2.86236e+08,594,6.68944e+06,57,0,7.81787e+08,7.81787e+08
/bin/mem_18_8,514933,2.07841e+08,4.10906e+08,618,9.59384e+06,103,0,8.04209e+08,8.04209e+08
/bin/mem_18_8,699790,2.81489e+08,5.56492e+08,633,1.29931e+07,1975,3,8.00109e+08,8.00109e+08
/bin/mem_18_8,840336,3.3968e+08,6.71219e+08,615,1.56629e+07,175,0,8.02583e+08,8.02583e+08
/bin/mem_18_8,997008,4.03073e+08,7.96596e+08,612,1.85951e+07,82,0,8.02189e+08,8.02189e+08
/bin/mem_18_8,1111111,4.5155e+08,8.92239e+08,618,2.08105e+07,175,0,8.05956e+08,8.05956e+08
/bin/mem_18_8,1250000,5.05046e+08,9.98919e+08,612,2.33462e+07,137,0,8.01715e+08,8.01715e+08
/bin/mem_18_8,1432664,5.77805e+08,1.1426e+09,636,2.66826e+07,1071,0,8.00031e+08,8.00031e+08
/bin/mem_18_8,1587301,6.41777e+08,1.26855e+09,618,2.96069e+07,109,0,8.01282e+08,8.01282e+08
/bin/mem_18_8,1721170,6.96064e+08,1.37584e+09,609,3.21111e+07,62,0,8.01242e+08,8.01242e+08
/bin/mem_18_8,1865671,7.58098e+08,1.49875e+09,618,3.50255e+07,87,0,8.05125e+08,8.05125e+08
/bin/mem_18_8,2000000,8.13345e+08,1.60674e+09,618,3.74841e+07,85,0,8.05047e+08,8.05047e+08
/bin/mem_18_9,369959,1.14077e+08,2.86249e+08,594,5.29486e+06,0,0,7.81801e+08,7.81801e+08
/bin/mem_18_9,514933,1.63781e+08,4.10938e+08,615,7.60169e+06,0,0,8.04215e+08,8.04215e+08
/bin/mem_18_9,699790,2.21864e+08,5.56494e+08,634,1.02873e+07,729,4,8.00104e+08,8.00104e+08
/bin/mem_18_9,840336,2.67686e+08,6.71196e+08,615,1.23995e+07,0,0,8.02542e+08,8.02542e+08
/bin/mem_18_9,997008,3.17608e+08,7.96599e+08,612,1.47264e+07,0,0,8.02188e+08,8.02188e+08
/bin/mem_18_9,1111111,3.55769e+08,8.92295e+08,615,1.64792e+07,0,0,8.05975e+08,8.05975e+08
/bin/mem_18_9,1250000,3.98185e+08,9.98961e+08,612,1.84802e+07,0,0,8.01739e+08,8.01739e+08
/bin/mem_18_9,1432664,4.55722e+08,1.14258e+09,639,2.11086e+07,53,0,8.00016e+08,8.00016e+08
/bin/mem_18_9,1587301,5.06283e+08,1.26855e+09,618,2.34275e+07,0,0,8.01279e+08,8.01279e+08
/bin/mem_18_9,1721170,5.48591e+08,1.37581e+09,609,2.54863e+07,0,0,8.0122e+08,8.0122e+08
/bin/mem_18_9,1865671,5.97621e+08,1.4988e+09,615,2.77083e+07,0,0,8.05132e+08,8.05132e+08
/bin/mem_18_9,2000000,6.418e+08,1.60673e+09,618,2.95794e+07,0,0,8.0504e+08,8.0504e+08
/bin/mem_20_12,369959,7.14163e+07,2.84808e+08,266,3.38208e+06,1.54044e+06,135808,7.83673e+08,7.83673e+08
/bin/mem_20_12,514933,1.0163e+08,4.08519e+08,224,4.81166e+06,2.13416e+06,163100,8.0403e+08,8.0403e+08
/bin/mem_20_12,699790,1.35827e+08,5.58382e+08,223,6.4306e+06,3.22414e+06,215783,8.06915e+08,8.06915e+08
/bin/mem_20_12,840336,1.62224e+08,6.74059e+08,229,7.68675e+06,3.53122e+06,252824,8.10132e+08,8.10132e+08
/bin/mem_20_12,997008,1.88863e+08,7.95945e+08,223,8.94762e+06,4.23565e+06,283314,8.05797e+08,8.05797e+08
/bin/mem_20_12,1111111,2.10182e+08,8.84412e+08,261,9.95519e+06,4.4527e+06,289312,8.03646e+08,8.03646e+08
/bin/mem_20_12,1250000,2.31954e+08,1.0029e+09,236,1.09946e+07,5.30761e+06,367248,8.09262e+08,8.09262e+08
/bin/mem_20_12,1432664,2.63222e+08,1.14423e+09,216,1.2466e+07,5.87859e+06,365678,8.05368e+08,8.05368e+08
/bin/mem_20_12,1587301,2.87064e+08,1.26755e+09,226,1.35982e+07,6.10716e+06,430312,8.05213e+08,8.05213e+08
